,Unnamed: 0,nominees,details,imdb_urls,award_show,year,award,winner,ref_year,metabase,rating,popularity,genres,budget,gross,minute,American Cinema Editors,BAFTA,Chicago Film Critics,Critics Choice,Golden Globes,Satellite
0,0,1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, Callum McDougall",https://www.imdb.com//title/tt8579674/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,1,1,78,8.5,1,"['Drama', 'War']",100000000,254142909,119,-1.0,1.0,-1.0,0.0,1.0,-1.0
1,1,Ford v Ferrari,"Peter Chernin, Jenno Topping, James Mangold",https://www.imdb.com//title/tt1950186/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,81,8.2,13,"['Action', 'Biography', 'Drama', 'Sport']",97600000,222277771,152,0.0,-1.0,-1.0,0.0,-1.0,-1.0
2,2,Jojo Rabbit,"Carthew Neal, Taika Waititi",https://www.imdb.com//title/tt2584384/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,58,8.0,8,"['Comedy', 'Drama', 'War']",349555,65647700,108,1.0,-1.0,-1.0,0.0,0.0,-1.0
3,3,Joker,"Todd Phillips, Bradley Cooper, Emma Tillinger Koskoff",https://www.imdb.com//title/tt7286456/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,59,8.6,9,"['Crime', 'Drama', 'Thriller']",55000000,1071884607,122,0.0,0.0,-1.0,0.0,0.0,-1.0
4,4,Little Women,Amy Pascal,https://www.imdb.com//title/tt3281548/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,91,8.1,11,"['Drama', 'Romance']",40000000,164959722,135,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
5,5,Marriage Story,"Noah Baumbach, David Heyman",https://www.imdb.com//title/tt7653254/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,93,8.1,23,"['Comedy', 'Drama', 'Romance']",18600000,323382,137,0.0,-1.0,-1.0,0.0,0.0,-1.0
6,6,Once Upon a Time... in Hollywood,"David Heyman, Shannon McIntosh, Quentin Tarantino",https://www.imdb.com//title/tt7131622/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,83,7.7,10,"['Comedy', 'Drama']",90000000,374035441,161,0.0,0.0,-1.0,1.0,1.0,-1.0
7,7,Parasite,"Sin-ae Kwak, Bong Joon Ho",https://www.imdb.com//title/tt6751668/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,96,8.6,3,"['Comedy', 'Crime', 'Drama', 'Thriller']",393216,163862304,132,1.0,0.0,-1.0,0.0,-1.0,-1.0
8,8,The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal, Emma Tillinger Koskoff",https://www.imdb.com//title/tt1302006/?ref_=ev_nom,Academy Awards,2020,Best Motion Picture of the Year,0,1,94,8.0,15,"['Biography', 'Crime', 'Drama']",159000000,961224,209,0.0,0.0,-1.0,0.0,0.0,-1.0
9,0,Green Book,"Jim Burke, Charles B. Wessler, Brian Hayes Currie, Peter Farrelly, Nick Vallelonga",https://www.imdb.com//title/tt6966692/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,1,2,69,8.2,111,"['Biography', 'Comedy', 'Drama', 'Music']",23000000,329717166,130,0.0,0.0,-1.0,0.0,1.0,-1.0
10,1,A Star Is Born,"Bill Gerber, Bradley Cooper, Lynette Howell Taylor",https://www.imdb.com//title/tt1517451/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,88,7.7,281,"['Drama', 'Music', 'Romance']",36000000,436188866,136,0.0,0.0,-1.0,0.0,0.0,-1.0
11,2,BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, Spike Lee",https://www.imdb.com//title/tt7349662/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,83,7.5,324,"['Biography', 'Crime', 'Drama']",15000000,93400823,135,0.0,0.0,-1.0,0.0,0.0,-1.0
12,3,Black Panther,Kevin Feige,https://www.imdb.com//title/tt1825683/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,88,7.3,239,"['Action', 'Adventure', 'Sci-Fi']",200000000,1346913161,134,-1.0,-1.0,-1.0,0.0,0.0,-1.0
13,4,Bohemian Rhapsody,Graham King,https://www.imdb.com//title/tt1727824/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,49,8.0,198,"['Biography', 'Drama', 'Music']",52000000,903655259,134,1.0,-1.0,-1.0,-1.0,1.0,-1.0
14,5,Roma,"Gabriela Rodriguez, Alfonso Cuarón",https://www.imdb.com//title/tt6155172/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,96,7.7,371,['Drama'],,1148031,135,0.0,1.0,-1.0,1.0,-1.0,-1.0
15,6,The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday, Yorgos Lanthimos",https://www.imdb.com//title/tt5083738/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,90,7.6,188,"['Biography', 'Comedy', 'Drama', 'History']",15000000,95918706,119,1.0,0.0,-1.0,0.0,0.0,-1.0
16,7,Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay, Kevin J. Messick",https://www.imdb.com//title/tt6266538/?ref_=ev_nom,Academy Awards,2019,Best Motion Picture of the Year,0,2,61,7.2,427,"['Biography', 'Comedy', 'Drama']",60000000,76073488,132,0.0,-1.0,-1.0,0.0,0.0,-1.0
17,0,The Shape of Water,"Guillermo del Toro, J. Miles Dale",https://www.imdb.com//title/tt5580390/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,1,3,87,7.3,297,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",19400000,195333312,123,0.0,0.0,-1.0,1.0,0.0,0.0
18,1,Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges, Marco Morabito",https://www.imdb.com//title/tt5726616/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,93,7.9,124,"['Drama', 'Romance']",4000000,41887595,132,-1.0,0.0,-1.0,0.0,0.0,0.0
19,2,Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, Douglas Urbanski",https://www.imdb.com//title/tt4555426/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,75,7.4,345,"['Biography', 'Drama', 'History', 'War']",30000000,150847207,125,-1.0,0.0,-1.0,0.0,-1.0,-1.0
20,3,Dunkirk,"Emma Thomas, Christopher Nolan",https://www.imdb.com//title/tt5013056/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,94,7.9,117,"['Action', 'Drama', 'History', 'Thriller', 'War']",100000000,526940665,106,1.0,0.0,-1.0,0.0,0.0,0.0
21,4,Get Out,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., Jordan Peele",https://www.imdb.com//title/tt5052448/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,84,7.7,252,"['Horror', 'Mystery', 'Thriller']",4500000,255413717,104,0.0,-1.0,-1.0,0.0,0.0,0.0
22,5,Lady Bird,"Scott Rudin, Eli Bush, Evelyn O'Neill",https://www.imdb.com//title/tt4925292/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,94,7.4,167,"['Comedy', 'Drama']",10000000,78965611,94,0.0,-1.0,-1.0,0.0,1.0,0.0
23,7,The Post,"Amy Pascal, Steven Spielberg, Kristie Macosko Krieger",https://www.imdb.com//title/tt6294822/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,83,7.2,810,"['Biography', 'Drama', 'History', 'Thriller']",50000000,179769457,116,0.0,-1.0,-1.0,0.0,0.0,-1.0
24,8,"Three Billboards Outside Ebbing, Missouri","Graham Broadbent, Peter Czernin, Martin McDonagh",https://www.imdb.com//title/tt5027774/?ref_=ev_nom,Academy Awards,2018,Best Motion Picture of the Year,0,3,88,8.2,238,"['Comedy', 'Crime', 'Drama']",15000000,160192031,115,0.0,1.0,-1.0,0.0,1.0,0.0
25,0,Moonlight,"Dede Gardner, Jeremy Kleiner, Adele Romanski",https://www.imdb.com//title/tt4975722/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,1,4,99,7.4,398,['Drama'],4000000,65336603,111,0.0,0.0,-1.0,-1.0,1.0,0.0
26,1,Arrival,"Shawn Levy, Dan Levine, Aaron Ryder, David Linde",https://www.imdb.com//title/tt2543164/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,81,7.9,415,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",47000000,203388186,116,1.0,0.0,-1.0,-1.0,-1.0,-1.0
27,2,Fences,"Todd Black, Scott Rudin, Denzel Washington",https://www.imdb.com//title/tt2671706/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,79,7.2,016,['Drama'],24000000,64414761,139,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
28,3,Hacksaw Ridge,"Bill Mechanic, David Permut",https://www.imdb.com//title/tt2119532/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,71,8.1,312,"['Biography', 'Drama', 'History', 'War']",40000000,180450918,139,0.0,-1.0,-1.0,-1.0,0.0,0.0
29,4,Hell or High Water,"Carla Hacken, Julie Yorn",https://www.imdb.com//title/tt2582782/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,88,7.6,867,"['Action', 'Crime', 'Drama', 'Thriller', 'Western']",12000000,37879877,102,0.0,-1.0,-1.0,-1.0,0.0,0.0
30,5,Hidden Figures,"Peter Chernin, Donna Gigliotti, Theodore Melfi, Jenno Topping, Pharrell Williams",https://www.imdb.com//title/tt4846340/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,74,7.8,704,"['Biography', 'Drama', 'History']",25000000,235956898,127,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
31,6,La La Land,"Fred Berger, Jordan Horowitz, Marc Platt",https://www.imdb.com//title/tt3783958/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,93,8.0,340,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",30000000,446171671,128,1.0,1.0,-1.0,-1.0,1.0,1.0
32,7,Lion,"Iain Canning, Angie Fielder, Emile Sherman",https://www.imdb.com//title/tt3741834/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,69,8.0,693,"['Biography', 'Drama']",12000000,140312928,118,-1.0,-1.0,-1.0,-1.0,0.0,0.0
33,8,Manchester by the Sea,"Lauren Beck, Matt Damon, Kimberly Steward, Chris Moore, Kevin J. Walsh",https://www.imdb.com//title/tt4034228/?ref_=ev_nom,Academy Awards,2017,Best Motion Picture of the Year,0,4,96,7.8,843,['Drama'],9000000,78988148,137,0.0,0.0,-1.0,-1.0,0.0,0.0
34,0,Spotlight,"Michael Sugar, Steve Golin, Nicole Rocklin, Blye Pagon Faust",https://www.imdb.com//title/tt1895587/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,1,5,93,8.1,537,"['Biography', 'Crime', 'Drama']",20000000,98690254,129,-1.0,0.0,-1.0,1.0,0.0,1.0
35,1,Bridge of Spies,"Steven Spielberg, Marc Platt, Kristie Macosko Krieger",https://www.imdb.com//title/tt3682448/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,81,7.6,710,"['Drama', 'History', 'Thriller']",40000000,165478348,142,-1.0,0.0,-1.0,0.0,-1.0,0.0
36,2,Brooklyn,"Finola Dwyer, Amanda Posey",https://www.imdb.com//title/tt2381111/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,88,7.5,006,"['Drama', 'Romance']",11000000,62076141,117,-1.0,-1.0,-1.0,0.0,-1.0,0.0
37,3,Mad Max: Fury Road,"Doug Mitchell, George Miller",https://www.imdb.com//title/tt1392190/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,90,8.1,232,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",150000000,375209362,120,1.0,-1.0,-1.0,0.0,0.0,-1.0
38,4,Room,Ed Guiney,https://www.imdb.com//title/tt3170832/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,86,8.1,483,"['Drama', 'Thriller']",13000000,35401758,118,-1.0,-1.0,-1.0,0.0,0.0,0.0
39,5,The Big Short,"Brad Pitt, Dede Gardner, Jeremy Kleiner",https://www.imdb.com//title/tt1596363/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,81,7.8,378,"['Biography', 'Comedy', 'Drama', 'History']",28000000,133440870,130,1.0,0.0,-1.0,0.0,-1.0,0.0
40,6,The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer, Mark Huffam",https://www.imdb.com//title/tt3659388/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,80,8.0,391,"['Adventure', 'Drama', 'Sci-Fi']",108000000,630161890,144,0.0,-1.0,-1.0,0.0,-1.0,0.0
41,7,The Revenant,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent, Keith Redmon",https://www.imdb.com//title/tt1663202/?ref_=ev_nom,Academy Awards,2016,Best Motion Picture of the Year,0,5,76,8.0,247,"['Action', 'Adventure', 'Biography', 'Drama', 'History', 'Western']",135000000,532950503,156,0.0,1.0,-1.0,0.0,1.0,0.0
42,0,Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, John Lesher, James W. Skotchdopole",https://www.imdb.com//title/tt2562232/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,1,6,87,7.7,382,"['Comedy', 'Drama']",18000000,103215094,119,-1.0,0.0,-1.0,0.0,-1.0,-1.0
43,1,American Sniper,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper, Peter Morgan",https://www.imdb.com//title/tt2179136/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,72,7.3,909,"['Action', 'Biography', 'Drama', 'War']",58800000,547426372,133,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
44,2,Boyhood,"Richard Linklater, Cathleen Sutherland",https://www.imdb.com//title/tt1065073/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,100,7.9,604,['Drama'],4000000,48137666,165,1.0,1.0,-1.0,1.0,1.0,-1.0
45,3,Selma,"Christian Colson, Oprah Winfrey, Dede Gardner, Jeremy Kleiner",https://www.imdb.com//title/tt1020072/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,85,7.5,280,"['Biography', 'Drama', 'History']",20000000,66787908,128,-1.0,-1.0,-1.0,0.0,0.0,-1.0
46,4,The Grand Budapest Hotel,"Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson",https://www.imdb.com//title/tt2278388/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,88,8.1,344,"['Adventure', 'Comedy', 'Crime']",25000000,172936941,99,-1.0,0.0,-1.0,0.0,-1.0,-1.0
47,5,The Imitation Game,"Nora Grossman, Ido Ostrowsky, Teddy Schwarzman",https://www.imdb.com//title/tt2084970/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,73,8.0,747,"['Biography', 'Drama', 'Thriller', 'War']",14000000,233555708,114,0.0,0.0,-1.0,0.0,0.0,-1.0
48,6,The Theory of Everything,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten",https://www.imdb.com//title/tt2980516/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,72,7.7,062,"['Biography', 'Drama', 'Romance']",15000000,123726688,123,-1.0,0.0,-1.0,0.0,0.0,-1.0
49,7,Whiplash,"Jason Blum, Helen Estabrook, David Lancaster",https://www.imdb.com//title/tt2582802/?ref_=ev_nom,Academy Awards,2015,Best Motion Picture of the Year,0,6,88,8.5,380,"['Drama', 'Music']",3300000,48982041,106,0.0,-1.0,-1.0,0.0,-1.0,-1.0
50,0,12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, Anthony Katagas",https://www.imdb.com//title/tt2024544/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,1,7,96,8.1,478,"['Biography', 'Drama', 'History']",20000000,187733202,134,0.0,1.0,-1.0,1.0,1.0,-1.0
51,1,American Hustle,"Charles Roven, Richard Suckle, Megan Ellison, Jonathan Gordon",https://www.imdb.com//title/tt1800241/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,90,7.2,607,"['Crime', 'Drama']",40000000,251171807,138,-1.0,0.0,-1.0,0.0,-1.0,-1.0
52,2,Captain Phillips,"Scott Rudin, Dana Brunetti, Michael De Luca",https://www.imdb.com//title/tt1535109/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,83,7.8,833,"['Biography', 'Crime', 'Drama', 'Thriller']",55000000,218791811,134,1.0,0.0,-1.0,0.0,0.0,-1.0
53,3,Dallas Buyers Club,"Robbie Brenner, Rachel Winter",https://www.imdb.com//title/tt0790636/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,84,8.0,866,"['Biography', 'Drama']",5000000,55736588,117,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
54,4,Gravity,"Alfonso Cuarón, David Heyman",https://www.imdb.com//title/tt1454468/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,96,7.7,108,"['Drama', 'Sci-Fi', 'Thriller']",100000000,723192705,91,0.0,0.0,-1.0,0.0,0.0,-1.0
55,5,Her,"Megan Ellison, Spike Jonze, Vincent Landay",https://www.imdb.com//title/tt1798709/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,90,8.0,269,"['Drama', 'Romance', 'Sci-Fi']",23000000,48416523,126,0.0,-1.0,-1.0,0.0,-1.0,-1.0
56,6,Nebraska,"Albert Berger, Ron Yerxa",https://www.imdb.com//title/tt1821549/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,86,7.7,303,"['Adventure', 'Comedy', 'Drama']",12000000,27682872,115,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
57,7,Philomena,"Gabrielle Tana, Steve Coogan, Tracey Seaward",https://www.imdb.com//title/tt2431286/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,77,7.6,,"['Biography', 'Comedy', 'Drama']",12000000,100129872,98,-1.0,0.0,-1.0,-1.0,0.0,-1.0
58,8,The Wolf of Wall Street,"Leonardo DiCaprio, Emma Tillinger Koskoff, Joey McFarland, Martin Scorsese",https://www.imdb.com//title/tt0993846/?ref_=ev_nom,Academy Awards,2014,Best Motion Picture of the Year,0,7,75,8.2,131,"['Biography', 'Crime', 'Drama']",100000000,392000694,180,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
59,0,Argo,"Grant Heslov, Ben Affleck, George Clooney",https://www.imdb.com//title/tt1024648/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,1,8,86,7.7,924,"['Biography', 'Drama', 'Thriller']",44500000,232325503,120,1.0,1.0,-1.0,1.0,1.0,-1.0
60,2,Beasts of the Southern Wild,"Dan Janvey, Josh Penn, Michael Gottwald",https://www.imdb.com//title/tt2125435/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,86,7.3,769,"['Adventure', 'Drama', 'Fantasy']",1800000,21107746,93,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
61,3,Django Unchained,"Stacey Sher, Reginald Hudlin, Pilar Savone",https://www.imdb.com//title/tt1853728/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,81,8.4,250,"['Drama', 'Western']",100000000,425368238,165,-1.0,-1.0,-1.0,0.0,0.0,-1.0
62,4,Les Misérables,"Tim Bevan, Eric Fellner, Debra Hayward, Cameron Mackintosh",https://www.imdb.com//title/tt1707386/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,63,7.6,293,"['Drama', 'History', 'Musical', 'Romance', 'War']",61000000,441809770,158,-1.0,0.0,-1.0,0.0,-1.0,-1.0
63,5,Life of Pi,"Gil Netter, Ang Lee, David Womark",https://www.imdb.com//title/tt0454876/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,79,7.9,841,"['Adventure', 'Drama', 'Fantasy']",120000000,609016565,127,0.0,0.0,-1.0,0.0,0.0,-1.0
64,6,Lincoln,"Steven Spielberg, Kathleen Kennedy",https://www.imdb.com//title/tt0443272/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,86,7.3,895,"['Biography', 'Drama', 'History', 'War']",65000000,275293450,150,0.0,0.0,-1.0,0.0,0.0,-1.0
65,7,Silver Linings Playbook,"Donna Gigliotti, Bruce Cohen, Jonathan Gordon",https://www.imdb.com//title/tt1045658/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,81,7.7,913,"['Comedy', 'Drama', 'Romance']",21000000,236412453,122,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
66,8,Zero Dark Thirty,"Mark Boal, Kathryn Bigelow, Megan Ellison",https://www.imdb.com//title/tt1790885/?ref_=ev_nom,Academy Awards,2013,Best Motion Picture of the Year,0,8,95,7.4,756,"['Drama', 'Thriller']",40000000,132820716,157,0.0,0.0,-1.0,0.0,0.0,-1.0
67,0,The Artist,Thomas Langmann,https://www.imdb.com//title/tt1655442/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,1,9,89,7.9,411,"['Comedy', 'Drama', 'Romance']",15000000,133432856,100,-1.0,1.0,-1.0,1.0,-1.0,-1.0
68,1,Extremely Loud & Incredibly Close,Scott Rudin,https://www.imdb.com//title/tt0477302/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,46,6.9,600,"['Adventure', 'Drama', 'Mystery']",40000000,55247881,129,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
69,2,Hugo,"Graham King, Martin Scorsese",https://www.imdb.com//title/tt0970179/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,83,7.5,527,"['Drama', 'Family', 'Fantasy', 'Mystery']",150000000,185770160,126,0.0,-1.0,-1.0,0.0,0.0,-1.0
70,3,Midnight in Paris,"Letty Aronson, Stephen Tenenbaum",https://www.imdb.com//title/tt1605783/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,81,7.7,197,"['Comedy', 'Fantasy', 'Romance']",17000000,154056033,96,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
71,4,Moneyball,"Michael De Luca, Rachael Horovitz, Brad Pitt",https://www.imdb.com//title/tt1210166/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,87,7.6,985,"['Biography', 'Drama', 'Sport']",50000000,110206216,133,0.0,-1.0,-1.0,0.0,0.0,-1.0
72,5,The Descendants,"Jim Burke, Alexander Payne, Jim Taylor",https://www.imdb.com//title/tt1033575/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,84,7.3,813,"['Comedy', 'Drama']",20000000,177243185,115,1.0,0.0,-1.0,0.0,1.0,-1.0
73,6,The Help,"Brunson Green, Chris Columbus, Michael Barnathan",https://www.imdb.com//title/tt1454029/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,62,8.1,664,['Drama'],25000000,216639112,146,-1.0,0.0,-1.0,0.0,0.0,-1.0
74,7,The Tree of Life,"Sarah Green, Bill Pohlad, Dede Gardner, Grant Hill",https://www.imdb.com//title/tt0478304/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,85,6.8,306,"['Drama', 'Fantasy']",32000000,58409247,139,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
75,8,War Horse,"Steven Spielberg, Kathleen Kennedy",https://www.imdb.com//title/tt1568911/?ref_=ev_nom,Academy Awards,2012,Best Motion Picture of the Year,0,9,72,7.2,088,"['Action', 'Adventure', 'Drama', 'History', 'War']",66000000,177584879,146,0.0,-1.0,-1.0,0.0,0.0,-1.0
76,0,The King's Speech,"Iain Canning, Emile Sherman, Gareth Unwin",https://www.imdb.com//title/tt1504320/?ref_=ev_nom,Academy Awards,2011,Best Motion Picture of the Year,1,10,88,8.0,814,"['Biography', 'Drama', 'History']",15000000,427374317,118,0.0,1.0,-1.0,0.0,0.0,-1.0
